Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1558342800.0 25200.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 25203.0 NA 74 NA NA NA 157 NA NA NA 1242 NA NA NA 5127 NA NA
1558342800.0 25204.0 NA 73 NA NA NA 156 NA NA NA 1193 NA NA NA 4745 NA NA
1558342800.0 25205.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 25206.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 25207.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 25208.0 NA 73 NA NA NA 154 NA NA NA 1154 NA NA NA 4488 NA NA
1558342800.0 25209.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 25211.0 0 NA NA NA 0 NA NA NA 736 NA NA NA 2875 NA NA NA
1558342800.0 25211.18 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 25212.17 0 NA NA NA 0 NA NA NA 862 NA NA NA 3239 NA NA NA
1558342800.0 25400.17 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 25402.0 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 25407.18 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA NA
1558342800.0 26.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 27.0 NA 65 NA NA NA 146 NA NA NA 1243 NA NA NA 6437 NA NA
1558342800.0 27434.21 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1558342800.0 27634.21 NA 0 NA NA NA 0 NA NA NA 7266 NA NA NA 13527 NA NA
